LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month,SEX_1,SEX_2,EDUCATION_0,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,EDUCATION_5,EDUCATION_6,MARRIAGE_0,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3
9.446729150040413,31,-1,-1,-1,-1,-1,-1,4.856965979875463,5.7251089947040175,6.225020368769502,5.917728300727468,6.030925615988895,6.1224928095143865,5.730099782973574,6.230022024474546,5.922650231107622,6.031726384769674,6.127451256307569,6.4003128147615085,0,0,1,0,0,0,1,0,0,0,0,0,1,0
8.987196820661973,35,-2,-2,-2,-2,-2,-2,5.191288793789513,5.504653799545865,5.097424424168647,5.236087290011903,4.455122189744432,4.924108648090426,5.504653799545865,5.097424424168647,5.236087290011903,4.4570568005238735,4.924108648090426,5.1043280048863995,0,0,1,0,0,1,0,0,0,0,0,1,0,0
7.418580902748128,23,-1,-1,-2,-2,-2,-2,4.353284165808228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
9.305650551780507,32,0,0,0,0,0,0,8.598201586509703,8.52585556449489,8.435816817026694,8.458525403750393,8.230692642912278,8.304346445579396,5.211305989558407,5.059002088233962,5.211305989558407,4.892852258439873,5.876801638787843,5.0106352940962555,0,1,0,0,1,0,0,0,0,0,0,0,1,0
7.888584531993863,35,-1,-1,-1,-1,-1,0,4.567814399444322,5.788532036409903,6.105016421792097,2.580216829592325,2.580216829592325,2.580216829592325,5.788532036409903,6.105016421792097,2.580216829592325,2.580216829592325,0.0,2.580216829592325,0,0,1,0,0,1,0,0,0,0,0,1,0,0
9.141347500489232,33,0,0,0,0,0,0,9.14705972604844,9.153036065141428,9.146075591146092,8.749822279114753,8.729062762907036,8.723741127469447,5.809142990314028,5.8150256534721825,5.155408812110917,5.157329673247059,5.211305989558407,5.211305989558407,0,1,0,0,1,0,0,0,0,0,0,0,1,0
9.392661928770137,57,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,3.858622228701031,0.0,0.0,0.0,0.0,3.8600277103097658,0.0,5.39725731440294,0,0,1,0,1,0,0,0,0,0,0,1,0,0
8.374092347775564,26,-2,-2,-2,-2,-2,-1,0.0,0.0,0.0,2.5952547069568657,0.0,4.226347008826348,0.0,0.0,2.5952547069568657,0.0,4.226347008826348,0.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
8.804875263868018,29,-1,-1,-1,-1,-1,-1,2.3856999997045523,2.3856999997045523,2.3856999997045523,2.3856999997045523,2.3856999997045523,2.3856999997045523,2.3856999997045523,2.3856999997045523,2.3856999997045523,2.3856999997045523,2.3856999997045523,2.3856999997045523,0,0,1,0,0,0,1,0,0,0,0,0,1,0
8.642356334370243,52,3,2,2,-2,-1,-1,4.28771595520264,4.194692536056382,0.0,0.0,4.881538498539599,3.751854253275325,0.0,0.0,0.0,4.881538498539599,3.751854253275325,3.781154730223107,0,1,0,0,0,1,0,0,0,0,0,1,0,0
9.028018815182229,29,0,0,0,0,0,0,7.355598503557859,7.342800764072141,7.009920695743422,7.025004839032377,6.979920889782322,7.1332693517223085,4.422848629194137,5.809142990314028,4.605170185988092,4.605170185988092,5.585999438999818,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
9.06723952833551,40,0,0,0,0,0,0,8.438164413986103,8.419205430087825,8.402545236255326,8.412225191306696,8.40356152688233,8.39303487678645,5.0896518344144805,5.348218025001496,5.11739483066779,5.1189913187338805,5.069532935343741,5.0689042022202315,0,0,1,0,0,1,0,0,0,0,0,1,0,0
